 label,eccentricity,  area,   perimeter,  euler_number,  orientation,  solidity
 C,0.451847,   435,  369.107648,             0,    -0.924518,  0.423564
 D,0.337772,   404,  348.586832,             1,     1.421204,  0.396857
 E,0.432305,   427,  383.551299,             1,     0.595682,  0.42152
 F,0.554118,   357,  303.586832,             0,    -0.957299,  0.400673`
 G,0.411385,   466,  385.83557,             -2,    -0.910816,  0.453749
 H,1.0,        2,    0.0,                    1,     0.785398,  1.0
 I,0.0,        1,    0.0,                    1,     0.785398,  1.0
 J,1.0,        2,    0.0,                    1,     1.570796,  1.0
 K,0.580904,   438,  348.326948,            -1,     0.884412,  0.384886
 L,1.0,        2,    0.0,                    1,     0.785398,  1.0
 M,0.0,        1,    0.0,                    1,     0.785398,  1.0
 N,0.0,        1,    0.0,                    1,     0.785398,  1.0
